Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
1143	11.119595	0.7112852	8.68718	-5.613518	-24.618582	-10.982972	17.5383	-2.0359254	-16.499031	-13.253927	-4.047026	-6.8848233	-2.6321688	-0.23728359	-5.028121	2.8701415	4.931853	3.1236148	-2.3127472	-12.106804	15.050081	-2.6025417	-5.685317
24b	8.674963	-1.016606	-3.026397	2.186958	-2.430188	1.3489732	-6.096546	-3.0643723	-5.9621086	-3.427134	4.652653	-3.7792215	-2.7740092	1.8592511	7.7195687	5.315609	0.81479913	3.5935838	6.21728	3.8734336	3.0270865	-4.6375723	-12.412055
1171	20.40749	-7.877803	32.700993	6.4854736	7.5024447	-1.1010437	4.8694468	1.3305924	0.91499287	-2.930748	-0.92845106	-0.7690722	0.7539288	0.66070646	-1.0653379	-0.32101238	-1.357732	-0.46360034	0.43084028	2.3547268	-1.8792641	0.6977488	2.7069578
1190	11.508572	0.9424692	1.4821091	-3.4916453	-8.82367	-3.0726676	3.5104308	-3.5685081	-5.137212	-3.681758	0.29223529	-6.798616	-0.63558924	-2.5940275	1.8803365	0.52898484	-0.6969596	1.1951457	2.3415573	3.9259534	1.4465103	-0.62636614	-2.1636674
33b	15.39302	-4.598971	6.368479	1.6561618	-0.4639514	3.2971735	-10.656701	-6.2201066	-4.4022527	14.244044	15.819938	-3.0784373	3.235609	-3.6664224	-5.6763096	3.2101247	2.8577619	-10.863967	-7.1357884	-1.7526344	-0.1849203	2.0118637	-17.047113
494	-33.920986	42.729927	9.8217	-12.316986	9.69979	-1.3973244	-1.5010742	-1.6511511	1.0011026	3.5785239	-0.39775416	-2.4480543	0.17263246	-0.14132918	-0.031486228	0.067842506	1.2999796	-2.7705276	2.2628708	-0.1298708	7.7593737	1.2793831	4.9061704
738	15.564317	-3.6381848	-5.4388976	-6.022896	-4.367304	-1.2510965	-0.8858802	-2.9241834	0.6670555	7.8783126	-9.0342245	6.322696	1.5396832	-6.320988	-4.1655374	-3.741293	4.8337736	-0.7322022	0.86686933	2.682641	3.401291	0.0019400106	-0.74946624
904	15.047049	-7.8781877	-13.896886	-12.996698	15.015957	-3.9314253	9.982909	0.44628128	-5.0896463	4.986099	-1.0824652	10.673921	-0.10976497	3.2890928	-0.050307255	-4.176136	9.326263	-2.2419026	0.031066695	-9.722308	1.8983914	-3.2752604	2.6965096
1052	16.066711	-2.1499062	2.3456788	1.9884005	-4.701582	6.573742	-12.960919	-7.821566	-12.72677	16.794842	18.720228	-5.9665804	-4.4955235	-4.0228405	1.6045407	-6.136561	-2.625425	19.720362	6.118469	-4.6038904	6.431055	-5.4054265	8.06302
1086	20.583359	-8.263876	35.29864	6.6544633	7.7944345	-1.4672943	5.739837	2.3063848	2.2099354	-3.1887503	-2.4785285	0.8945871	0.36478382	1.5172062	-0.62820065	-0.26149052	-0.44310024	1.7330445	-0.6247799	-2.5853932	1.6494291	-0.2037145	-0.069078505
1132	20.613945	-10.867702	40.82394	9.269989	15.386284	-0.117504194	3.1598372	3.8024268	7.246802	-1.0596492	-2.2017999	2.6047468	0.43461165	1.3676456	1.0093137	0.4123521	0.011527919	1.4344851	0.07465512	-1.0266433	0.4076137	-0.38794926	0.5508883
1144	10.266594	-0.23806494	2.130483	2.1627758	-1.560877	2.7902925	-7.3171387	-2.8184423	-0.027485937	4.3412657	6.8738556	-1.9767929	0.24364884	2.3647668	1.459799	2.4468818	-1.7288365	-0.20441355	0.03461544	-1.0794282	-2.6161013	-1.1690284	-4.1240115
25	12.760739	-3.5212157	-0.37348494	-0.70961875	-0.8805619	2.0857823	-4.9983892	1.4139875	2.539221	-0.8964652	-5.674894	-0.3800341	-3.3370035	-0.06281029	10.125233	0.9804101	-2.2044055	0.47616476	-0.6750085	2.654587	0.58396745	2.7448068	-1.4482757
1173	17.443413	1.0424911	7.314548	-2.8745103	-16.965466	-5.7545614	10.434009	-5.529702	-18.355698	-9.887524	2.6457164	-9.662363	0.52234346	-1.6539012	-4.620612	-1.5712097	1.3422244	-6.3973327	2.945761	9.31918	-4.8266287	2.1540642	6.6932106
1199	17.844421	-5.241098	20.422611	3.6030862	2.2652836	-0.6299343	1.7756581	-2.9206414	-6.3012047	2.3150322	4.247482	-3.2538643	-0.27898434	-1.0436445	-1.8315114	-1.2834831	1.1636821	-2.3408837	1.2701609	2.3880343	-4.4133296	0.77559996	1.9618288
34	11.116892	-5.6025047	-11.998976	-6.559573	10.430739	1.4394104	-5.0947084	4.309458	14.344934	-13.441757	1.5292315	-23.346876	0.6776129	-11.238078	-1.0608312	-5.718207	7.7822175	1.0918391	2.418984	-7.7567387	2.7737262	-2.2899737	3.178346
495	12.100552	2.4327164	3.564879	-3.283865	-13.3362665	-3.6407254	6.773907	-1.1663607	-7.8151617	-7.745076	-1.444535	-4.001381	-2.5941126	0.6698034	0.30096233	-1.571264	-0.67472476	2.6040707	-0.25560543	-3.7649074	-1.5812218	0.6189708	-1.7703606
742	17.38205	-6.769427	11.3965645	2.1709914	2.8740582	3.0946531	-9.873112	-8.489142	-9.938261	18.609997	19.136103	-6.7043047	1.9874291	-4.494341	-7.203558	0.80334944	3.5702665	-5.670858	-1.7549895	1.4060236	-2.2632322	-0.57435083	-10.997268
906	7.453659	-0.90846765	-3.5505238	3.5110214	-1.3436598	2.5211916	-6.3612943	-0.89581794	-1.5871961	-0.80016875	-3.0385249	0.03623862	-4.224713	3.9496012	5.856919	4.9828725	-2.0466897	1.9477721	5.2161245	2.2476764	-0.73802024	1.8369682	1.0819137
1059	18.89104	-0.4028186	4.216435	-2.460202	-9.600623	-3.3904693	7.127349	-5.8107815	-15.607887	-6.5609818	7.893733	-11.440817	1.8179035	-2.5264714	-0.21591792	-4.878661	2.8552854	-10.449492	2.494749	18.827614	-8.683056	4.5264235	10.799336
1118	16.397118	0.6938587	10.785085	-2.8890765	-19.149853	-7.6426945	13.849121	-5.1595583	-19.134659	-11.418357	2.475802	-9.902766	0.0143458685	-1.2787905	-5.3235283	-0.42132983	2.3867517	-4.9463725	1.4525363	4.5403023	0.41225755	1.2967129	4.7677712
1134	20.898087	-4.9317083	30.013409	3.379122	-2.0218847	-3.8761666	10.057927	1.2601489	-3.9732883	-6.709944	-3.3397317	-1.2891048	-0.13794914	1.3595327	-2.0596776	-0.5664387	-0.31410626	1.541524	-1.6700164	-5.0271025	4.6605477	-0.20959285	-1.1799357
1148	18.718538	-11.146539	39.174408	9.088785	15.0861025	-0.5353319	2.875927	3.8066645	7.1485095	-0.9153925	-1.8852644	2.4818344	0.4694101	1.6997682	1.0655055	0.59486514	0.22558384	1.4824452	0.0792393	-0.7685549	0.673687	-0.38783243	0.40551236
