GEN	R18	R19	R20	AUDPC	LP50	IF	IT	DS	R18t	R19t	R20t	I_cc_FAI_LP	I_cc_FAI	I_cc_SH
2867	9.28	9.41	35.15	12.00	0.96	6.24	3.91	0.25	0.197048469	0.198487677	0.404014343	0.793	0.948	538.535
P46	8.34	7.79	4.19	7.57	0.97	4.04	3.20	0.17	0.186499058	0.180115783	0.131220095	1.232	0.515	430.853
P61	9.00	6.64	19.88	14.82	0.97	8.26	3.91	0.31	0.193961613	0.165879496	0.294202458	1.080	1.246	645.480
P614	12.47	11.91	4.88	10.25	0.96	5.34	3.73	0.21	0.229786271	0.224305741	0.141784017	0.880	0.878	504.489
2946	9.18	15.67	5.52	17.23	0.96	8.76	3.91	0.37	0.195969112	0.259113776	0.151024325	0.693	1.324	706.567
2998	7.43	8.73	4.57	10.59	0.97	5.40	3.88	0.22	0.1757163	0.190979802	0.137186202	1.062	0.971	543.720
3044	9.62	15.25	12.47	13.62	0.96	7.00	3.92	0.30	0.200718983	0.255411166	0.229762078	0.884	1.092	601.174
3086	10.23	18.33	39.58	9.11	0.97	4.91	3.79	0.20	0.207265689	0.281646699	0.433178523	1.221	0.749	488.604
3096	9.47	19.21	26.62	18.25	0.97	9.98	3.91	0.39	0.199144754	0.288816667	0.345102232	0.916	1.392	747.981
3108	13.41	14.17	40.64	11.48	0.97	6.21	3.88	0.24	0.238692921	0.245700509	0.440036171	1.021	0.969	534.759
P18	13.76	11.25	16.75	9.47	0.97	5.01	3.72	0.20	0.241935593	0.217708776	0.268403476	1.079	0.744	486.947
P29	9.43	21.43	14.48	14.37	0.96	7.47	3.91	0.31	0.198672797	0.306370154	0.248543095	0.850	1.145	619.037
2887	11.39	21.92	17.24	16.94	0.97	9.73	3.91	0.38	0.219186878	0.310205523	0.272579908	0.979	1.379	734.284
P47	10.72	6.11	5.66	7.21	0.97	3.99	3.29	0.16	0.212352417	0.158973371	0.152892205	1.501	0.452	429.195
P65	8.31	9.78	18.86	14.14	0.97	7.77	3.86	0.30	0.186108466	0.202537288	0.286007579	1.034	1.184	619.248
P615	9.56	10.74	13.51	9.68	0.96	5.06	3.81	0.20	0.200161797	0.212530405	0.239568475	0.903	0.846	495.901
2948	8.87	36.75	60.52	8.87	0.98	5.02	3.91	0.22	0.19256661	0.414650795	0.567496022	1.441	0.929	524.187
3024	10.53	18.35	35.06	14.08	0.97	7.55	3.92	0.30	0.210381524	0.281844895	0.403392974	1.014	1.148	614.803
3060	11.68	16.49	19.62	10.83	0.97	5.81	3.91	0.23	0.222018578	0.26623666	0.292167332	1.073	1.016	536.155
3088	9.81	14.04	18.81	9.11	0.97	5.12	3.89	0.21	0.202768138	0.24452818	0.285611255	1.322	0.868	506.098
3097	9.34	22.98	5.67	11.25	0.97	6.06	3.89	0.24	0.197738727	0.318280726	0.153109267	1.115	0.994	540.449
3109	9.09	21.53	49.11	11.01	0.96	5.73	3.82	0.23	0.194921305	0.307203891	0.49431809	0.893	0.861	512.893
